"idx","location","qn","case_num","case_array","feedback","qn_move"
"53415","sw01_u04_p11","22","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","23"
"53416","sw01_u04_p11","22","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks"," ","24"
"53417","sw01_u04_p11","23","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53418","sw01_u04_p11","23","1","incorrect/no more chance"," ","25"
"53419","sw01_u04_p11","23","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","25"
"53420","sw01_u04_p11","23","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","34"
"53421","sw01_u04_p11","24","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53422","sw01_u04_p11","24","1","incorrect/no more chance"," ","25"
"53423","sw01_u04_p11","24","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","25"
"53424","sw01_u04_p11","24","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","34"
"53425","sw01_u04_p11","25","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53426","sw01_u04_p11","25","1","incorrect/no more chance","/%sound_common-071-then-lets-begin/","34"
"53427","sw01_u04_p11","25","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","34"
"53428","sw01_u04_p11","25","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","25"
"53429","sw01_u04_p11","34","0","incorrect/try again"," ","-7777"
"53430","sw01_u04_p11","34","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","41"
"53431","sw01_u04_p11","34","2","there is a nice yard/there's a nice yard/there is a nice yard out/there's a nice yard out","/%fb_correctfeedback_1/","41"
"53432","sw01_u04_p11","35","0","incorrect/try again"," ","-7777"
"53433","sw01_u04_p11","35","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","41"
"53434","sw01_u04_p11","35","2","there is a nice kitchen/there's a nice kitchen/there is a nice kitchen out/there's a nice kitchen out","/%fb_correctfeedback_1/","41"
"53435","sw01_u04_p11","36","0","incorrect/try again"," ","-7777"
"53436","sw01_u04_p11","36","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","41"
"53437","sw01_u04_p11","36","2","there is a nice bedroom/there's a nice bedroom/there is a nice bedroom out/there's a nice bedroom out","/%fb_correctfeedback_1/","41"
"53438","sw01_u04_p11","37","0","incorrect/try again"," ","-7777"
"53439","sw01_u04_p11","37","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","41"
