idx,word,name
24213,scissors,item
24214,rulers,item
24215,ruler,item
24216,protractors,item
24217,protractor,item
24218,post-it notes,item
24219,post-it note,item
24220,pens,item
24221,pencils,item
24222,pencil sharpeners,item
24223,pencil sharpener,item
24224,pencil cases,item
24225,pencil case,item
24226,pencil,item
24227,pen,item
24228,papers,item
24229,paper clips,item
24230,paper clip,item
24231,paper,item
24232,notebooks,item
24233,notebook,item
24234,markers,item
24235,marker,item
24236,lunchboxes,item
24237,lunchbox,item
24238,highlighters,item
24239,highlighter,item
24240,glue sticks,item
24241,glue stick,item
24242,glue,item
24243,folders,item
24244,folder,item
24245,files,item
24246,file,item
24247,erasers,item
24248,eraser,item
24249,dictionary,item
24250,dictionaries,item
24251,crayons,item
24252,crayon,item
24253,compasses,item
24254,compass,item
24255,calendars,item
24256,calendar,item
24257,calculators,item
24258,calculator,item
24259,books,item
24260,books,item
24261,book,item
24262,book,item
24263,backpacks,item
24264,backpack,item
24265,basement,unit4_word_1
24266,bathroom,unit4_word_1
24267,bedroom,unit4_word_1
24268,living room,unit4_word_1
24269,yard,unit4_word_1
24270,kitchen,unit4_word_1
24271,bathtub,unit4_word_2
24272,sink,unit4_word_2
24273,closet,unit4_word_2
24274,rug,unit4_word_2
24275,mirror,unit4_word_2
24276,table,unit4_word_2
24277,living room,unit4_word_2
24278,bathroom,unit4_word_2
24279,kitchen,unit4_word_2
24280,basement,unit4_word_2
24281,bedroom,unit4_word_2
24282,yard,unit4_word_2
24283,short,unit5_word_1
24284,thin,unit5_word_1
24285,tall,unit5_word_1
24286,heavy,unit5_word_1
24287,pretty,unit5_word_1
24288,good looking,unit5_word_1
24289,dark hair,unit5_word_2
24290,blue eyes,unit5_word_2
24291,around face,unit5_word_2
24292,straight hair,unit5_word_2
24293,curly hair,unit5_word_2
24294,blond hair,unit5_word_2
24295,box,unit4_word_2
24296,oven,unit4_word_2
24297,chair,unit4_word_2
24298,shower,unit4_word_2
24299,bed,unit4_word_2
24300,sofa,unit4_word_2
24301,short,unit5_word_2
24302,thin,unit5_word_2
24303,tall,unit5_word_2
24304,heavy,unit5_word_2
24305,pretty,unit5_word_2
24306,good looking,unit5_word_2
24307,a round face,unit5_word_2
24308,around face,char
24309,around face,char2
24310,pair of scissors,item
24311,pairs of scissors,item
24312,garden,place3
24313,bedroom,place3
24314,bathroom,place3
24315,living room,place3
24316,kitchen,place3
24317,yard,place3
24318,basement,place3
24319,dining room,place3
